GeneID,PC1,PC2,PC3,PC4,PC5,PC6,PC7
ACVR1B,-2.366764608,0.249292613,-0.606890176,-0.308794779,0.484625013,-0.90075349,0.317757341
TOM1L2,-0.714947724,1.591838294,-0.922218295,-1.548253732,-0.269745512,1.254836134,0.126699759
ZNF385A,3.013807424,0.546580093,0.727793689,1.403113284,-0.515528398,-0.310523805,-0.247584426
ITGA5,2.72677495,0.596793221,0.085470804,1.680696478,0.835990089,0.826363018,0.674387962
WDR77,-0.792647847,-1.055818948,0.538330998,1.464323137,-0.256673658,0.469598136,1.354051148
ATP5PB,1.73486904,2.100042116,1.266688956,-0.940021127,0.295702258,0.562701353,-0.527480953
SOX9,2.076782092,0.883612122,1.119310346,1.578021342,1.043534062,-0.347932356,0.910906214
HNRNPD,-2.241574284,0.855203577,0.177146116,-0.645565788,0.285428014,-0.26847302,0.614829938
C1D,-1.774799846,0.505354184,0.309730556,0.181042661,0.803482462,-0.409715159,0.880524035
GM2A,0.008714638,0.420037498,0.250321441,0.494967884,-2.414015788,-0.096220103,0.30316901
KRIT1,-1.203693773,-1.420570577,1.832386468,0.295113746,0.345251579,-0.76672506,0.652213521
CLCN4,-0.424278709,0.684264788,0.989442719,-0.115323931,1.39817994,0.27030375,1.375260188
HK2,2.214533121,1.382619998,0.243554169,-0.225626649,0.420017594,1.828909704,0.866380919
MYO18A,-1.697264512,-1.009977765,-0.046026752,0.209351245,0.389178222,1.283985929,0.938604578
SEZ6,1.084536651,-0.396584783,-0.997820113,-2.134098168,0.293208618,-2.609509546,-0.334880393
CD52,0.640819471,0.157081973,-1.30756856,-0.143672285,-1.520242131,0.786305917,0.215091039
ABHD15,0.694282372,-1.134578504,0.305611189,0.619273243,-1.919385144,-1.655927517,-0.73297867
HOXB6,2.596360244,0.536667644,1.738007054,-0.952108242,0.285192645,0.615935284,-0.67390062
LOXL3,2.365046156,1.156773227,-2.384640169,-0.689953234,0.364630525,0.345970237,0.584486939
KAT2B,-2.440104399,0.18749927,-0.64977583,0.178549396,0.291838088,-0.007550844,0.353897074
RAB5B,-2.016769334,1.127493014,-0.279672351,0.025512193,-0.550722915,0.046271927,-0.330958244
CRYBA1,-0.547865785,0.624179069,-1.17023488,-1.743692661,0.278123149,0.806480902,-1.74996384
ICOSLG,0.186486681,1.700007212,-1.104310017,0.109791755,-1.227513058,0.492231764,0.186329124
SPG7,-1.846677368,1.671013724,-0.865650355,-0.492509983,0.553539256,0.17434396,-0.297506643
RPL13,-2.506778503,-0.014470233,0.167521502,0.167577655,0.766708633,-0.324470024,0.008324147
CHMP1A,-2.259253066,0.47137783,0.387199294,0.351751471,-0.311160503,-0.365441037,0.284624676
RPA1,-1.83055487,1.587893624,-0.426157157,-0.74829632,-0.333957691,-0.093053457,0.227255189
SERPINF1,2.861029648,0.47407388,-1.761296704,0.898507311,-0.596825875,-0.438896782,0.7311262
TUBGCP3,-1.562191361,-0.817094481,0.806467505,-0.24105023,-0.186193932,0.467263694,-0.774059425
POLR3D,-1.567670035,1.248784869,0.500489763,-0.389783576,-0.522347201,0.635960371,0.004990547
TCF7,0.176137138,-1.339343163,-0.196929788,2.004210134,-0.522901716,-0.32601187,0.380122501
DDX3X,-0.845535471,-1.402779879,-0.694107248,-2.050541721,-0.11194562,1.028427996,0.655705258
KCNN3,3.099774429,1.156652176,-0.481148054,0.2423268,0.256571944,0.411394796,0.941308689
CA4,1.962052822,-1.91487053,0.247595194,-2.104012487,-0.809123203,-0.416036009,-0.088163236
TXNRD3,-0.401208763,-1.920147944,0.177322068,0.692231646,-0.256264903,-0.362855919,-0.568208121
ZNF512B,-1.708116358,0.548601565,-0.574346822,-0.17519394,0.249541938,1.182263939,-0.075027546
DNAJC5,-1.816312409,0.033947263,0.42544407,-0.330287773,0.115475313,1.451003437,0.233253546
TPD52L2,-1.772784679,-0.105182099,0.833330786,0.968606457,0.27893524,-0.142132756,1.017530861
FMR1,-0.023908827,-1.865668258,0.190625428,0.594504862,0.586744603,-1.279186678,-1.398021631
BCL11A,0.214094592,-3.077329087,-0.976765291,-0.541832147,0.501591702,-1.230048856,0.44497137
PXMP4,1.366170122,1.670372749,1.03495803,0.481568918,-0.824725082,-1.040744932,-0.444183747
DLG3,1.08162373,-0.980756391,-3.079888079,0.258894453,0.71832444,-0.641897927,-0.728745465
GNB1L,2.000472153,1.281185163,0.046276212,-0.791991484,0.230801939,-1.583775227,2.018295921
MMP11,1.253321855,0.360612604,-0.936940674,-1.765355811,-1.821883957,-0.145452436,-0.364810854
SMARCB1,-0.040562393,-2.737370416,0.029336925,-0.527444469,0.376803463,-0.046054956,0.597289368
HIP1R,0.805758163,-1.695494042,-0.014350844,1.10209251,1.311688059,1.024358181,-0.631778657
NSUN5,-0.228160479,-1.617456777,-0.484223538,0.477201345,2.096171306,-0.093636475,-0.534930907
TOP1MT,-1.913289695,0.932273274,-0.499391987,0.530719564,0.39749704,-0.131424345,-0.63261851
HOXA10,-2.033685898,-1.410370114,-0.259362104,-0.801602854,0.086325751,0.182470138,0.70426164
HOXA4,-0.455260612,0.260036165,0.848962483,0.157073765,-0.060734229,-0.794135142,-1.499048393
MMP14,2.648985098,-0.520872599,-2.244315468,0.94214765,0.672879223,0.116399914,-0.776908902
SLC7A7,2.771766114,-0.890322109,-1.431192474,0.265221016,-1.474328306,-0.073278488,0.624936614
OXA1L,1.588885903,1.859924402,0.705644049,-2.052209825,0.030363311,-0.011476923,-0.523406064
HEATR6,-1.93634181,-0.278122914,0.204714784,1.020119047,-0.597134765,-0.966009604,0.369381724
ILF2,-1.553015469,-0.887714839,1.107508504,-0.343836011,0.564969096,0.313756835,1.337337573
CHTOP,-2.351495865,0.245483728,-0.027327137,0.292295241,-0.058733376,0.271224419,0.260157712
SNAPIN,-2.14311975,0.356678061,-0.312077295,0.337231504,-0.019927447,0.423073676,-0.267713232
S100A4,1.854358381,1.397608115,-2.344130668,0.58915566,0.502597555,-0.850866042,0.280790567
S100A6,2.505986295,1.360759255,-1.676605642,1.085693656,0.202970772,0.119674441,0.277728956
SCN4A,-2.168928926,1.047458969,-0.459328768,0.467779352,-0.137640307,-0.196313134,0.161041877
ICAM2,1.76158791,1.1992124,-0.199782312,0.598151388,-1.345318919,1.484087316,-0.499907928
MAPK7,0.580953719,-0.259749651,-2.175546881,-0.594053713,-1.245721523,0.329272318,-0.29799223
EPN2,-2.001590561,0.198249853,-0.199458717,0.38972622,-0.761421169,0.672314874,-0.491056828
B9D1,1.001954274,2.069687865,-0.847644446,0.866626353,-0.847187351,0.44802819,-0.546525073
SEC24B,-1.850337939,0.951296518,0.141488004,0.509226225,-0.67533717,0.147816881,0.086345232
N4BP3,2.243048375,0.469533872,-0.562978799,-0.684421278,-0.612551538,0.756558231,-1.14226967
RMND5B,-2.001698794,1.110633527,-0.632890015,0.160792249,0.624692055,-0.228399568,-0.632602701
NHP2,-1.94750565,0.277837896,0.185613923,-0.197790318,-0.680409855,0.020715222,-0.278180183
VPS9D1,-1.364557975,1.131023181,-0.398888576,-0.922806123,0.585061898,0.797236195,0.234012207
ZNF276,-0.586921463,0.84564164,1.089062361,-0.410049836,-0.459769422,1.195117354,-0.699867725
MFSD10,0.148059126,-0.862270004,-0.673976169,1.943293251,-0.816005271,-0.210552746,1.361054585
LUZP1,3.449117813,0.276431825,0.139816481,-0.355467735,0.359341019,1.047507845,0.565737038
KCTD10,0.867642685,0.192836034,0.805965073,0.098831535,-0.540831564,1.676736156,-0.025062307
POLDIP2,-1.156371187,2.194307048,0.575828939,-0.293167045,0.040187207,0.026159271,0.067047793
IFT20,-1.343077654,-0.395023987,0.909936455,0.079445725,0.203444079,0.937100292,-0.502178613
COL6A1,3.041652352,0.544827347,-1.520862506,1.220381334,0.080511249,0.545328688,0.399811795
PCBP3,-1.460886424,1.20999312,-1.702618599,0.384099555,-0.456727951,-0.618266759,0.717819787
ARAF,-2.335896881,0.195005962,0.485921303,-0.104944253,-0.177335798,-0.536600293,0.261136436
CFP,1.528652701,-1.145401157,-1.871238533,1.464146486,-0.231938168,0.798844822,-0.140784134
TIMP1,2.79491029,1.78118269,-1.447437792,0.136477398,0.116706227,-0.170710215,0.781076553
UXT,-1.363229679,0.128009194,-0.692977426,-0.909651517,-0.224626302,-0.853869217,0.650065666
CNNM3,-1.661173197,1.215681119,0.00921792,-0.382478465,-1.076330647,-0.547130713,-0.263142216
LMAN2L,-1.351070666,-0.529267335,1.687831858,0.594263481,-0.361052147,-0.232439209,0.819965718
MCM3AP,0.313613509,-0.837629685,1.799707765,0.466250359,1.342296365,-0.854811819,-1.130644776
PCNT,0.955006346,-0.850692298,1.51930547,-2.162243501,0.764987153,0.356891219,-0.119563445
MXD1,-0.77860878,1.878858428,-1.43011549,0.394149714,-0.693986954,-0.356042065,0.32416621
OCRL,-0.571748451,-2.661184614,-1.15918583,-1.395206636,0.100844219,0.592125645,-0.233704011
CALM1,-2.188325778,-0.547924807,-0.358009816,1.187469985,0.620359157,-0.165455175,0.019001245
AGPAT3,0.605261385,0.284070368,2.503993023,0.152384358,0.263478401,-1.03374419,-1.422331378
SEMA6B,2.800379533,-0.763923338,0.129707297,0.391410036,1.488106736,0.809382197,0.621362559
UHRF1,2.942488428,-0.676232056,0.36024422,0.528156439,0.240318355,0.041915802,1.911941836
DPP9,-1.994633942,-0.152205174,0.006421366,0.397201613,-0.250574662,0.316943103,-1.118688725
RAMP2,3.05919868,0.500926721,-1.056339245,0.210860506,0.463857382,0.173568204,0.56886086
